date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:13:46	2166/2166	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2234b6d5f6e6b19f74cf4413df600d6f0f%22	https://www.octonet.ai/robots.txt		(from )
00:13:46	63681/63681	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202024%2012:51:18%20GMT	https://www.octonet.ai/	C:/Users/admin/Desktop/My%20Web%20Sites/octonetai2/www.octonet.ai/index.html	(from )
00:13:46	121568/121568	---M-Z	200	added ('OK')	text/css	etag:%22be0f0d5002908bba954fd0625ac5fe9d%22	https://cdn.prod.website-files.com/66ff0a64ceed9630b09df3a7/css/octonetaitestnetv2.webflow.5c50ad48b.css	C:/Users/admin/Desktop/My%20Web%20Sites/octonetai2/cdn.prod.website-files.com/66ff0a64ceed9630b09df3a7/css/octonetaitestnetv2.webflow.5c50ad48b.css	(from https://www.octonet.ai/)
00:13:46	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/admin/Desktop/My%20Web%20Sites/octonetai2/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.octonet.ai/)
00:13:47	1315/1315	---M--	200	added ('OK')	image/png	etag:%223b710320d21850bc0f5090c6098176d1%22	https://cdn.prod.website-files.com/66ff0a64ceed9630b09df3a7/673b51ab671d4554585428a1_Introducing%20Octonet%2C%202nd%20project%20on%20the%20launchpad-modified%20(1).png	C:/Users/admin/Desktop/My%20Web%20Sites/octonetai2/cdn.prod.website-files.com/66ff0a64ceed9630b09df3a7/673b51ab671d4554585428a1_Introducing%20Octonet,%202nd%20project%20on%20the%20launchpad-modified%20(1).png	(from https://www.octonet.ai/)
00:13:47	9257/9257	---M--	200	added ('OK')	image/png	etag:%2209c2d6aa131b1454990624d8de7256e4%22	https://cdn.prod.website-files.com/66ff0a64ceed9630b09df3a7/673b51d50ebb26d21223477b_Introducing%20Octonet%2C%202nd%20project%20on%20the%20launchpad-modified%20(2).png	C:/Users/admin/Desktop/My%20Web%20Sites/octonetai2/cdn.prod.website-files.com/66ff0a64ceed9630b09df3a7/673b51d50ebb26d21223477b_Introducing%20Octonet,%202nd%20project%20on%20the%20launchpad-modified%20(2).png	(from https://www.octonet.ai/)
00:13:47	5730/5730	---M--	200	added ('OK')	image/png	etag:%22b8adee727a94cd7c93adb223fb373142%22	https://cdn.prod.website-files.com/66ff0a64ceed9630b09df3a7/67045aaf5991c9f2789a7e98_test2%20(6)%20(2).png	C:/Users/admin/Desktop/My%20Web%20Sites/octonetai2/cdn.prod.website-files.com/66ff0a64ceed9630b09df3a7/67045aaf5991c9f2789a7e98_test2%20(6)%20(2).png	(from https://www.octonet.ai/)
00:13:47	5605/5605	---M--	200	added ('OK')	image/png	etag:%224e214d907ea8818b38a5c0b60fba9f7d%22	https://cdn.prod.website-files.com/66ff0a64ceed9630b09df3a7/670d442088b523ffda4bd55a_Untitled%20design%20-%202024-10-14T191726.146.png	C:/Users/admin/Desktop/My%20Web%20Sites/octonetai2/cdn.prod.website-files.com/66ff0a64ceed9630b09df3a7/670d442088b523ffda4bd55a_Untitled%20design%20-%202024-10-14T191726.146.png	(from https://www.octonet.ai/)
00:13:47	3166/3166	---M--	200	added ('OK')	image/png	etag:%226f240557323c1d91c2ef2b0d8f2d9a1d%22	https://cdn.prod.website-files.com/66ff0a64ceed9630b09df3a7/67251da0331a82c91895cbad_GPU%20RENTAL.png	C:/Users/admin/Desktop/My%20Web%20Sites/octonetai2/cdn.prod.website-files.com/66ff0a64ceed9630b09df3a7/67251da0331a82c91895cbad_GPU%20RENTAL.png	(from https://www.octonet.ai/)
00:13:48	8451/8451	---M--	200	added ('OK')	image/png	etag:%228734a0cc54f4d2810fc76b06fe8a9d36%22	https://cdn.prod.website-files.com/66ff0a64ceed9630b09df3a7/67251da06b8f9ca5a9f70994_VPN.png	C:/Users/admin/Desktop/My%20Web%20Sites/octonetai2/cdn.prod.website-files.com/66ff0a64ceed9630b09df3a7/67251da06b8f9ca5a9f70994_VPN.png	(from https://www.octonet.ai/)
